date,open,high,low,close,adj_close,volume
2023-06-01,193.5,194.4,188.49,190.45,190.45,35210458
2023-06-02,190.45,191.63,184.83,185.46,185.46,56434732
2023-06-05,185.46,192.09,184.28,189.91,189.91,58566341
2023-06-06,189.91,195.37,188.57,194.65,194.65,46221377
2023-06-07,194.65,196.5,189.67,191.15,191.15,39589509
2023-06-08,191.15,196.29,189.35,195.61,195.61,43925558
2023-06-09,195.61,200.23,193.67,199.49,199.49,44709076
2023-06-12,199.49,203.54,197.42,202.51,202.51,58499630
2023-06-13,202.51,219.25,200.97,217.99,217.99,78989228
2023-06-14,217.99,222.37,217.24,221.29,221.29,53621657
2023-06-15,221.29,228.72,220.74,226.92,226.92,62069159
2023-06-16,226.92,233.29,224.52,230.98,230.98,48443362
2023-06-19,230.98,240.01,226.9,237.42,237.42,111303384
2023-06-20,237.42,239.06,231.27,233.8,233.8,57914402
2023-06-21,233.8,235.03,225.86,227.63,227.63,35366366
2023-06-22,227.63,230.3,220.21,220.94,220.94,41893567
2023-06-23,220.94,227.8,218.73,226.32,226.32,42326903
2023-06-26,226.32,241.74,223.42,240.75,240.75,77266253
2023-06-27,240.75,242.18,237.45,239.31,239.31,56468864
2023-06-28,239.31,240.38,232.67,233.36,233.36,58476749
2023-06-29,233.36,233.88,227.91,228.93,228.93,37330480
2023-06-30,228.93,235.97,226.64,234.75,234.75,39655378
2023-07-03,234.75,235.57,230.51,231.1,231.1,35314288
2023-07-04,231.1,233.71,226.21,228.71,228.71,42348951
2023-07-05,228.71,234.31,226.24,232.24,232.24,61035717
2023-07-06,232.24,237.69,230.15,236.08,236.08,60799472
2023-07-07,236.08,244.01,234.51,242.81,242.81,64131943
2023-07-10,242.81,246.65,240.34,244.61,244.61,46009519
2023-07-11,244.61,247.76,243.86,246.41,246.41,52789621
2023-07-12,246.41,252.19,223.78,227.35,227.35,85753353
2023-07-13,227.35,232.15,225.7,229.73,229.73,54510272
2023-07-14,229.73,232.31,227.95,231.12,231.12,46713490
2023-07-17,231.12,234.8,228.5,232.78,232.78,60013306
2023-07-18,232.78,233.53,227.43,228.07,228.07,41106973
2023-07-19,228.07,229.36,220.54,222.29,222.29,54082613
2023-07-20,222.29,224.67,221.33,223.81,223.81,61132560
2023-07-21,223.81,224.48,218.43,219.16,219.16,62921453
2023-07-24,219.16,228.9,215.34,226.92,226.92,116802024
2023-07-25,226.92,235.16,225.28,234.2,234.2,62137490
2023-07-26,234.2,236.21,222.27,223.14,223.14,94184842
2023-07-27,223.14,226.65,209.86,210.57,210.57,86444077
2023-07-28,210.57,212.5,209.17,209.61,209.61,46004776
2023-07-31,209.61,211.46,203.68,206.06,206.06,61840390
