date,open,high,low,close,adj_close,volume
2023-06-01,123.0,124.41,120.52,121.86,121.86,17104765
2023-06-02,121.86,122.89,118.23,119.19,119.19,18405059
2023-06-05,119.19,119.87,116.87,117.25,117.25,18751224
2023-06-06,117.25,120.35,115.99,119.37,119.37,15031891
2023-06-07,119.37,120.05,116.14,117.01,117.01,17278309
2023-06-08,117.01,117.82,114.82,116.15,116.15,22573066
2023-06-09,116.15,119.14,115.25,118.29,118.29,25450689
2023-06-12,118.29,119.21,115.82,118.16,118.16,35139175
2023-06-13,118.16,122.05,117.47,120.95,120.95,23706579
2023-06-14,120.95,121.67,118.84,119.6,119.6,18092822
2023-06-15,119.6,124.42,118.68,122.98,122.98,23593363
2023-06-16,122.98,125.37,122.27,125.1,125.1,24286893
2023-06-19,125.1,125.39,120.28,121.51,121.51,17005784
2023-06-20,121.51,124.35,120.98,123.71,123.71,16053636
2023-06-21,123.71,124.82,122.04,122.42,122.42,17448939
2023-06-22,122.42,122.82,118.26,119.37,119.37,15581668
2023-06-23,119.37,123.79,118.31,122.58,122.58,20484902
2023-06-26,122.58,128.98,120.52,127.96,127.96,45939519
2023-06-27,127.96,129.12,125.25,125.86,125.86,24701664
2023-06-28,125.86,127.3,122.99,123.31,123.31,18309627
2023-06-29,123.31,125.79,121.88,124.91,124.91,20979505
2023-06-30,124.91,133.14,124.26,131.06,131.06,43667133
2023-07-03,131.06,131.44,128.55,129.5,129.5,22367215
2023-07-04,129.5,130.63,126.46,126.93,126.93,19564073
2023-07-05,126.93,131.31,126.25,130.37,130.37,17637624
2023-07-06,130.37,131.02,127.87,128.45,128.45,21746993
2023-07-07,128.45,129.63,125.71,127.04,127.04,15093426
2023-07-10,127.04,132.13,125.53,130.75,130.75,17885907
2023-07-11,130.75,133.17,129.81,131.67,131.67,17029139
2023-07-12,131.67,135.26,130.29,134.35,134.35,23290133
2023-07-13,134.35,135.74,121.82,124.33,124.33,32511885
2023-07-14,124.33,125.75,122.4,122.65,122.65,19163060
2023-07-17,122.65,123.56,118.48,118.98,118.98,18275412
2023-07-18,118.98,119.3,117.56,117.88,117.88,21029427
2023-07-19,117.88,118.47,114.55,115.56,115.56,20397337
2023-07-20,115.56,116.4,111.5,112.81,112.81,22306104
2023-07-21,112.81,113.64,111.53,112.5,112.5,20715186
2023-07-24,112.5,113.84,109.89,110.35,110.35,22137793
2023-07-25,110.35,110.59,107.61,108.9,108.9,16916147
2023-07-26,108.9,110.88,107.85,109.9,109.9,17735673
2023-07-27,109.9,113.22,109.02,112.02,112.02,17463248
2023-07-28,112.02,115.51,110.76,114.37,114.37,16623283
2023-07-31,114.37,115.53,110.85,111.44,111.44,17065639
2023-08-01,111.44,112.15,110.98,111.83,111.83,14562896
2023-08-02,111.83,115.11,110.83,114.74,114.74,14951999
2023-08-03,114.74,115.1,111.18,111.73,111.73,16213555
2023-08-04,111.73,114.44,110.51,113.16,113.16,25057803
2023-08-07,113.16,113.77,110.25,110.6,110.6,18575450
2023-08-08,110.6,114.01,110.24,112.77,112.77,17156371
2023-08-09,112.77,113.75,110.0,110.45,110.45,18267253
2023-08-10,110.45,111.05,108.81,109.65,109.65,16861119
2023-08-11,109.65,110.77,104.82,107.29,107.29,44506303
2023-08-14,107.29,110.57,106.16,109.97,109.97,22424330
2023-08-15,109.97,110.87,109.29,110.5,110.5,22538545
2023-08-16,110.5,112.9,107.0,107.87,107.87,49132459
2023-08-17,107.87,110.15,106.36,108.86,108.86,42168638
2023-08-18,108.86,109.86,107.47,108.04,108.04,21789862
2023-08-21,108.04,109.65,107.46,108.65,108.65,18347460
2023-08-22,108.65,109.55,106.25,106.54,106.54,18610367
2023-08-23,106.54,107.2,105.66,106.49,106.49,20182659
2023-08-24,106.49,107.02,105.47,105.9,105.9,21205435
2023-08-25,105.9,106.24,103.62,104.17,104.17,15511056
2023-08-28,104.17,105.36,102.31,102.59,102.59,16505036
2023-08-29,102.59,103.81,99.54,100.72,100.72,16926240
2023-08-30,100.72,100.94,97.24,98.04,98.04,19162173
2023-08-31,98.04,98.73,96.8,97.34,97.34,19624533
2023-09-01,97.34,98.41,93.79,94.57,94.57,15573984
2023-09-04,94.57,95.47,92.79,93.42,93.42,21681101
2023-09-05,93.42,96.02,92.89,95.06,95.06,16493318
2023-09-06,95.06,95.68,94.32,95.22,95.22,16722079
2023-09-07,95.22,98.38,94.98,97.94,97.94,14227701
2023-09-08,97.94,98.7,97.44,98.29,98.29,25638034
2023-09-11,98.29,98.7,97.62,98.23,98.23,24903966
2023-09-12,98.23,100.67,97.52,100.4,100.4,20843261
2023-09-13,100.4,101.98,100.01,101.71,101.71,23417880
2023-09-14,101.71,102.48,100.18,100.49,100.49,14402953
2023-09-15,100.49,103.3,99.48,102.82,102.82,15777414
2023-09-18,102.82,103.41,98.87,100.04,100.04,22221206
2023-09-19,100.04,100.67,97.34,98.5,98.5,22167017
2023-09-20,98.5,99.37,97.76,98.59,98.59,14239629
2023-09-21,98.59,98.94,96.13,96.66,96.66,18045742
2023-09-22,96.66,97.44,95.35,95.69,95.69,39462683
2023-09-25,95.69,96.31,92.12,92.77,92.77,37394815
2023-09-26,92.77,93.43,92.12,92.38,92.38,14368945
2023-09-27,92.38,95.53,91.0,95.01,95.01,34730513
2023-09-28,95.01,96.13,92.4,93.37,93.37,19947331
2023-09-29,93.37,96.21,92.99,95.85,95.85,16635485
2023-10-02,95.85,96.2,95.17,95.84,95.84,23677478
2023-10-03,95.84,98.04,95.28,97.4,97.4,24478247
2023-10-04,97.4,100.01,97.09,99.57,99.57,22488031
2023-10-05,99.57,99.89,96.82,97.12,97.12,23694584
2023-10-06,97.12,98.18,95.71,96.49,96.49,19602425
2023-10-09,96.49,97.59,95.6,97.1,97.1,24464906
2023-10-10,97.1,100.12,96.51,99.7,99.7,23522915
2023-10-11,99.7,101.38,98.99,100.22,100.22,21685774
2023-10-12,100.22,102.02,99.86,101.0,101.0,14098805
2023-10-13,101.0,101.64,98.32,98.72,98.72,18536202
2023-10-16,98.72,99.5,96.31,97.3,97.3,21642319
2023-10-17,97.3,97.73,94.17,95.0,95.0,18113744
2023-10-18,95.0,96.0,92.22,93.23,93.23,15343708
2023-10-19,93.23,94.2,91.8,92.4,92.4,15604795
2023-10-20,92.4,93.75,85.95,87.09,87.09,40302863
2023-10-23,87.09,88.99,86.34,88.29,88.29,15767154
2023-10-24,88.29,91.11,87.84,90.76,90.76,22062417
2023-10-25,90.76,92.73,89.95,92.23,92.23,16039106
