date,open,high,low,close,adj_close,volume
2023-06-01,328.0,336.99,327.31,334.53,334.53,29189082
2023-06-02,334.53,335.96,321.3,325.01,325.01,25058760
2023-06-05,325.01,328.66,322.51,325.61,325.61,18252432
2023-06-06,325.61,333.78,323.8,330.35,330.35,21917512
2023-06-07,330.35,334.11,319.76,322.9,322.9,32341422
2023-06-08,322.9,324.85,317.2,317.94,317.94,29885374
2023-06-09,317.94,321.63,308.37,310.24,310.24,18016347
2023-06-12,310.24,312.53,309.02,311.67,311.67,30070863
2023-06-13,311.67,312.49,306.3,307.93,307.93,27814997
2023-06-14,307.93,309.48,302.08,305.32,305.32,25972248
2023-06-15,305.32,308.65,303.36,307.28,307.28,31205175
2023-06-16,307.28,317.39,306.38,315.3,315.3,23666357
2023-06-19,315.3,316.91,306.61,308.62,308.62,18526273
2023-06-20,308.62,312.7,305.61,310.86,310.86,29597865
2023-06-21,310.86,312.07,308.01,310.79,310.79,26142619
2023-06-22,310.79,313.22,287.04,291.14,291.14,44358661
2023-06-23,291.14,294.12,285.85,288.64,288.64,29502970
2023-06-26,288.64,291.49,285.72,286.8,286.8,28336766
2023-06-27,286.8,290.19,283.64,285.65,285.65,22062106
2023-06-28,285.65,288.49,274.83,276.96,276.96,30968997
2023-06-29,276.96,278.87,268.79,270.59,270.59,22745758
2023-06-30,270.59,273.12,267.88,272.06,272.06,21142744
2023-07-03,272.06,274.5,271.1,273.19,273.19,28657724
2023-07-04,273.19,275.65,269.66,272.4,272.4,23716359
2023-07-05,272.4,277.41,269.41,273.79,273.79,45179786
2023-07-06,273.79,276.48,266.03,268.22,268.22,31910062
2023-07-07,268.22,289.1,267.13,287.18,287.18,60435134
2023-07-10,287.18,288.34,281.97,285.33,285.33,30300123
2023-07-11,285.33,286.79,281.1,281.97,281.97,29312633
2023-07-12,281.97,283.43,275.1,276.01,276.01,23771146
2023-07-13,276.01,280.22,275.36,277.74,277.74,27470930
2023-07-14,277.74,279.23,262.04,266.74,266.74,44686378
2023-07-17,266.74,276.06,264.03,273.23,273.23,24738522
2023-07-18,273.23,274.83,266.09,267.52,267.52,27342282
2023-07-19,267.52,272.7,266.78,270.24,270.24,30053503
2023-07-20,270.24,274.66,267.36,273.39,273.39,20474726
2023-07-21,273.39,274.62,270.87,271.89,271.89,20046975
2023-07-24,271.89,273.86,267.42,268.34,268.34,19104831
2023-07-25,268.34,274.62,266.6,272.42,272.42,26184052
2023-07-26,272.42,276.69,269.76,275.43,275.43,23915620
